qnum,muni,codeibge,codesetor,group,incumbent_wins,acc_status,ana_rank,data,hora_1,sex,age,politics_interest,turnout_2012,vote_2012,same_race_mayor,turnout_2014,vote_2014,partisan,muni_biggest_prob,politician_helped,edu_contas_rank,mayor_pid,govt_eval_baseline,acc_eval_baseline,uncertain_acc_baseline,edu_eval_baseline,uncertain_edu_baseline,tce_knowledge,ana_knowledge,child_school,confid_fedgov,confid_justice,confid_tce,confid_muni,acc_responsible,edu_responsible,prob_vote_buying,prob_vote_monitoring,prob_vote_count,info_welfare,source_cred1,acc_rejected_prior,tce_prior_cert,ana_prior,edu_prior_uncert,treat_quest,years_edu,race,religion,income,relative_wellbeing,pesq,hora_2,ana,accounts,acc_rejected,control,good_ana,good_accounts,female,edu_rank1,acc_rank1,info_corrupt_welfare1,source_cred1_survey,free_fair,acc_goodsurprise,acc_badsurprise,acc_nosurprise,list1,list2,carlos,flier,area1,area2,turnout,vote_choice,list_exp_vote,decision_factors,top3_1,top3_2,top3_3,govt_eval,pol_effort,pol_honesty,good_schools1,good_schools2,good_schools3,acc_rejected_posterior,ana_posterior,acc_backlash,ideb_heard,ideb_heard_from1,ideb_heard_from2,ideb_heard_from3,ideb_goal_met,received_flier,heard_others_flier,flier_openended1,flier_openended2,flier_openended3,vote_vig,uncertain_edu_eval,uncertain_acc_eval,uncertain_edu_open,uncertain_acc_open,edu_eval,acc_eval,vote_buying_list,vote_list,vig_treatment,valid_vote,vote_party,vote,vote_winner,vote_vig_strict,info_most_important,info_import,attrited,acc_correct,ana_correct,acc_anysurprise,competitiveness
414,Bom Conselho,2602100,260210005000019,(2) Gestão Financeira,0,REJEIÇÃO,172,1509,1130,Homem,31,Pouco interessado(a),1,0,1,Sim,Dilma Rousseff,0,Má qualidade das estradas,0,Igualmente importantes,2,3,Regular,5,Regular,6,1,0,1,5,4,4,2,3,2,4,3,2,Se ele se envolveu em corrupção,Um político local,0,Inseguro(a),97,Inseguro(a),Não,12,Branca,Católica,"De R$ 440,01 até R$ 880,00",Igual,26,1148,0,1,1,0,0,1,0,0,0,1,0,5,0,1,0,NA,"
Votar em um candidato que perdeu as eleições para prefeito",NA,Gestão Financ.,escolas municipais,contas do município,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0.8374841889475291
415,Bom Conselho,2602100,260210005000019,(1) Controle,0,REJEIÇÃO,172,1509,1200,Mulher,28,Pouco interessado(a),1,0,0,Sim,Anulou o voto / votou em branco,0,Má qualidade na iluminação pública,0,Igualmente importantes,1,3,Regular,6,Regular,6,1,1,0,3,2,3,4,3,3,2,2,2,Se ele se envolveu em corrupção,Uma pessoa influente da sua comunidade,0,Inseguro(a),121,Inseguro(a),Não,12,Parda,Protestante Tradicional ou Evangélica não Pentecostal,"De R$ 440,01 até R$ 880,00",Igual,26,1233,0,0,1,1,0,1,1,0,0,1,0,4,0,1,0,"
Receber um presente, favor ou acesso a um serviço em troca do seu voto","
Votar em um candidato que perdeu as eleições para prefeito",NA,Gestão Financ.,contas do município,escolas municipais,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0.8374841889475291
416,Bom Conselho,2602100,260210005000019,(3) Educação,0,REJEIÇÃO,172,1509,1240,Homem,24,Pouco interessado(a),1,0,1,Sim,Dilma Rousseff,0,Má qualidade na iluminação pública,1,Igualmente importantes,5,2,Regular,6,Bom,6,1,0,0,4,6,5,6,5,6,2,3,1,Se ele se envolveu em corrupção,Um panfleto de uma ONG,0,Seguro(a),108,Muito inseguro(a),Não,12,Parda,Católica,"De R$ 2.640,01 até R$ 4.400,00",Igual,26,1305,1,0,1,0,0,1,0,0,0,1,1,4,0,1,0,NA,NA,NA,Educação,escolas municipais,contas do município,1,Branco/Nulo,1,As políticas do meu candidato,NA,NA,NA,3,4,1,Ter professores bem formados,Ter professores bem pagos,Ser escola de tempo integral,0,101,NA,Sim,Professor ou diretor de escola,NA,NA,Não,1,Não,NA,NA,NA,0,3,2,Falta de investimento na educação,NA,3,3,0,0,0,0,NA,0,0,0,NA,NA,0,0,113,1,0.8374841889475291
417,Bom Conselho,2602100,260210005000019,(2) Gestão Financeira,0,REJEIÇÃO,172,1509,1310,Homem,36,Pouco interessado(a),1,1,0,Sim,Dilma Rousseff,0,Desemprego/combate ao desemprego,0,A administração das contas do município,2,2,Bom,7,Bom,7,1,1,0,3,2,2,4,4,3,1,3,1,Se ele consegue trazer benefícios e serviços para a população,Uma pessoa fazendo uma pesquisa,0,Seguro(a),55,Seguro(a),Não,12,Parda,Católica,"De R$ 880,01 até R$ 1.320,00",Melhor,26,1340,0,1,1,0,0,1,0,0,1,0,0,4,0,1,0,NA,NA,"Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Gestão Financ.,contas do município,escolas municipais,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0.8374841889475291
418,Bom Conselho,2602100,260210005000019,(1) Controle,0,REJEIÇÃO,172,1509,1350,Homem,19,Pouco interessado(a),1,1,1,Sim,Dilma Rousseff,0,Crise econômica,0,Igualmente importantes,4,1,Bom,7,Bom,7,0,0,0,7,7,7,7,7,7,3,1,1,"O desempenho do prefeito em suas funções; por exemplo, quantas vezes por semana ele vai à prefeitura",Uma pessoa fazendo uma pesquisa,0,Inseguro(a),93,Inseguro(a),Não,10,Parda,Católica,"De R$ 880,01 até R$ 1.320,00",Igual,26,1413,0,0,1,1,0,1,0,0,0,0,0,2,0,1,0,"
Receber um presente, favor ou acesso a um serviço em troca do seu voto",NA,"Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Gestão Financ.,contas do município,escolas municipais,1,2,1,Benefícios para a comunidade,Conversas com amigos ou familiares,O que aprendi durante a campanha sobre candidatos da oposição,O que aprendi durante a campanha sobre o atual prefeito,4,4,2,Ter professores bem pagos,Ficar perto da sua casa,Ter bom desempenho em avaliações nacionais,1,149,Não,Não,NA,NA,NA,Não,1,Não,NA,NA,NA,0,3,2,Investimento na educação,NS/NR,4,3,1,0,1,1,PSB,1,1,0,0,1,0,1,161,1,0.8374841889475291
419,Bom Conselho,2602100,260210005000019,(3) Educação,0,REJEIÇÃO,172,1509,1440,Homem,39,Pouco interessado(a),1,1,0,Sim,Aécio Neves,0,Segurança/violência/criminalidade,1,Igualmente importantes,5,1,Ótimo,7,Ótimo,7,1,0,0,1,1,6,7,7,7,1,1,1,Se ele consegue trazer benefícios e serviços para a população,Um debate entre os candidatos,0,Muito seguro(a),93,Seguro(a),Não,12,Branca,Católica,"De R$ 2.640,01 até R$ 4.400,00",Igual,26,1512,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,"
Receber um presente, favor ou acesso a um serviço em troca do seu voto","
Votar em um candidato que perdeu as eleições para prefeito","Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Educação,contas do município,escolas municipais,1,2,1,O esforço do meu candidato/meu candidato é trabalhador,Conhecer pessoalmente algum candidato,Conversas com amigos ou familiares,O que aprendi durante a campanha sobre candidatos da oposição,4,4,3,Ter acesso a Internet,Ter professores bem formados,Ter professores bem pagos,0,101,NA,NA,NA,NA,NA,NS/NR,1,Não,NA,NA,NA,0,2,2,NS/NR,NS/NR,4,4,1,1,1,1,PSB,1,1,0,0,0,0,0,113,1,0.8374841889475291
420,Bom Conselho,2602100,260210005000019,(1) Controle,0,REJEIÇÃO,172,1509,1523,Mulher,31,Muito interessado(a),1,0,0,Sim,Dilma Rousseff,1,Crise econômica,1,Igualmente importantes,1,1,Bom,7,Bom,7,1,1,1,1,1,5,7,6,6,1,1,1,Se ele consegue trazer benefícios e serviços para a população,Um panfleto de uma ONG,0,Muito seguro(a),45,Seguro(a),Não,12,Preta,Católica,"De R$ 440,01 até R$ 880,00",Igual,26,1550,0,0,1,1,0,1,1,0,0,0,1,2,0,1,0,NA,NA,"Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Educação,contas do município,escolas municipais,1,2,2,Benefícios para a comunidade,Conversas com amigos ou familiares,O que aprendi durante a campanha sobre o atual prefeito,O que aprendi durante a campanha sobre candidatos da oposição,5,5,3,Ter professores bem formados,Ter professores bem pagos,Ter bom desempenho em avaliações nacionais,0,77,Não,Sim,"Jornal, rádio ou televisão",NA,NA,Sim,1,Não,NA,NA,NA,0,3,2,Investimento na educação,Investe em obras na cidade,5,5,0,0,1,1,PSB,1,1,0,0,1,0,0,89,1,0.8374841889475291
421,Bom Conselho,2602100,260210005000019,(2) Gestão Financeira,0,REJEIÇÃO,172,1509,1600,Homem,40,Nada interessado(a),0,1,1,Sim,Dilma Rousseff,0,Desemprego/combate ao desemprego,0,A administração das escolas municipais,1,1,Bom,7,Bom,7,0,0,1,1,7,5,7,7,7,1,3,1,Se ele consegue trazer benefícios e serviços para a população,Um debate entre os candidatos,0,Inseguro(a),101,Inseguro(a),Não,4,Parda,Protestante Tradicional ou Evangélica não Pentecostal,"De R$ 880,01 até R$ 1.320,00",Igual,26,1629,0,1,1,0,0,1,0,1,0,0,0,4,0,1,0,"
Receber um presente, favor ou acesso a um serviço em troca do seu voto","
Votar em um candidato que perdeu as eleições para prefeito",NA,Gestão Financ.,contas do município,escolas municipais,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0.8374841889475291
422,Bom Conselho,2602100,260210005000019,(2) Gestão Financeira,0,REJEIÇÃO,172,1509,1645,Mulher,67,Interessado(a),1,1,1,Sim,Aécio Neves,1,Saúde/hospitais/postos de saúde,0,Igualmente importantes,6,1,Ótimo,7,Bom,7,1,0,0,5,4,7,7,7,6,1,2,1,Se ele consegue trazer benefícios e serviços para a população,Um debate entre os candidatos,0,Muito seguro(a),185,Inseguro(a),Não,4,Parda,Católica,"De R$ 440,01 até R$ 880,00",Melhor,26,1712,0,1,1,0,1,1,1,0,0,0,0,3,0,1,0,"
Receber um presente, favor ou acesso a um serviço em troca do seu voto",NA,"Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Gestão Financ.,contas do município,escolas municipais,1,2,1,As políticas do meu candidato,Conversas com amigos ou familiares,O que aprendi durante a campanha sobre o atual prefeito,O que aprendi durante a campanha sobre candidatos da oposição,5,4,3,Ter professores bem formados,Ter professores bem pagos,Ser escola de tempo integral,0,33,Não,Sim,"Jornal, rádio ou televisão",NA,NA,Não,1,Não,NA,NA,NA,0,3,2,Investimento na educação,Investe na saúde,5,5,1,0,1,1,PSB,1,1,0,0,1,0,0,45,1,0.8374841889475291
423,Bom Conselho,2602100,260210005000019,(3) Educação,0,REJEIÇÃO,172,1509,1720,Homem,57,Pouco interessado(a),1,0,1,Sim,Dilma Rousseff,0,Falta de reformas de praças,0,Igualmente importantes,1,1,Bom,7,Bom,7,1,1,0,1,6,5,7,7,7,1,1,1,Se ele consegue trazer benefícios e serviços para a população,Um debate entre os candidatos,0,Inseguro(a),93,Inseguro(a),Não,18,Parda,Testemunha de Jeová,"De R$ 2.640,01 até R$ 4.400,00",Igual,26,1740,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,NA,NA,"Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Educação,contas do município,escolas municipais,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0.8374841889475291
424,Bom Conselho,2602100,260210005000019,(3) Educação,0,REJEIÇÃO,172,1509,1750,Homem,58,Pouco interessado(a),1,1,1,Sim,Dilma Rousseff,1,Combate à corrupção/moralização da administração,0,A administração das escolas municipais,1,2,Bom,7,Bom,7,1,1,0,3,6,2,7,7,7,3,1,1,Se ele consegue trazer benefícios e serviços para a população,Um debate entre os candidatos,0,Muito seguro(a),145,Inseguro(a),Não,4,Branca,Católica,"De R$ 440,01 até R$ 880,00",Igual,26,1816,1,0,1,0,0,1,0,1,0,0,0,2,0,1,0,NA,NA,NA,Educação,escolas municipais,contas do município,1,2,2,Benefícios para a comunidade,O que aprendi durante a campanha sobre o atual prefeito,O que aprendi durante a campanha sobre candidatos da oposição,Conversas com amigos ou familiares,5,4,3,Ter professores bem formados,Ter professores bem pagos,Ser escola de tempo integral,0,85,Não,Não,NA,NA,NA,NS/NR,1,Sim,NA,NA,NA,0,3,2,Investimento na educação,NA,5,4,0,0,0,1,PSB,1,1,0,1,1,0,0,97,1,0.8374841889475291
425,Bom Conselho,2602100,260210005000020,(3) Educação,0,REJEIÇÃO,172,1509,1336,Mulher,24,Muito interessado(a),1,1,1,Sim,Aécio Neves,1,Crise econômica,0,A administração das contas do município,6,2,Ótimo,7,Ótimo,7,1,0,0,5,5,4,6,6,6,1,1,1,Se ele consegue trazer benefícios e serviços para a população,Um debate entre os candidatos,0,Seguro(a),45,Seguro(a),Sim,18,Parda,"Nenhuma (Acredita em uma entidade suprema, mas não pertence a religião nenhuma)","De R$ 4.400,01 até R$ 6.160,00",Melhor,18,1403,1,0,1,0,0,1,1,0,1,0,0,2,0,1,0,NA,"
Votar em um candidato que perdeu as eleições para prefeito",NA,Educação,contas do município,escolas municipais,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0.8374841889475291
426,Bom Conselho,2602100,260210005000020,(1) Controle,0,REJEIÇÃO,172,1509,1434,Mulher,48,Pouco interessado(a),1,1,1,Sim,Dilma Rousseff,0,Crise econômica,0,A administração das escolas municipais,3,2,Bom,7,Regular,4,0,0,0,7,5,4,7,4,4,2,1,1,Se ele consegue trazer benefícios e serviços para a população,Uma pessoa fazendo uma pesquisa,0,Inseguro(a),9,Inseguro(a),Não,7,Parda,Testemunha de Jeová,"De R$ 880,01 até R$ 1.320,00",Igual,18,1444,0,0,1,1,0,1,1,1,0,0,0,2,0,1,0,NA,"
Votar em um candidato que perdeu as eleições para prefeito","Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Educação,contas do município,escolas municipais,1,Branco/Nulo,1,NA,Nenhum,NA,NA,5,4,4,Ter acesso a Internet,Ter professores bem formados,Ter professores bem pagos,0,181,Não,Não,NA,NA,NA,NS/NR,1,Não,NA,NA,NA,0,2,4,NS/NR,NS/NR,3,NA,0,1,1,0,NA,0,0,0,0,NA,0,0,175,1,0.8374841889475291
427,Bom Conselho,2602100,260210005000020,(1) Controle,0,REJEIÇÃO,172,1509,1450,Mulher,58,Nada interessado(a),1,1,0,Sim,Dilma Rousseff,0,Crise econômica,0,A administração das escolas municipais,4,2,Bom,5,Bom,5,1,1,0,6,6,5,7,6,6,1,1,1,Se ele se envolveu em corrupção,Um político local,0,Seguro(a),93,Seguro(a),Não,11,Parda,Católica,"De R$ 1.760,01 até R$ 2.640,00",Igual,18,1502,0,0,1,1,0,1,1,1,0,1,0,2,0,1,0,NA,NA,"Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Gestão Financ.,contas do município,escolas municipais,1,2,1,Benefícios para a comunidade,Nenhum,NA,NA,4,4,4,Ter bom desempenho em avaliações nacionais,Ter professores bem formados,Ter professores bem pagos,1,173,Não,Não,NA,NA,NA,NS/NR,1,Não,NA,NA,NA,0,3,2,NS/NR,NS/NR,3,3,0,0,1,1,PSB,1,1,0,0,NA,0,1,183,1,0.8374841889475291
428,Bom Conselho,2602100,260210005000020,(3) Educação,0,REJEIÇÃO,172,1509,1508,Mulher,29,Pouco interessado(a),1,1,1,Sim,Dilma Rousseff,1,Segurança/violência/criminalidade,1,A administração das contas do município,4,3,Regular,5,Regular,4,0,0,1,7,7,7,3,5,5,1,2,1,Se ele se envolveu em corrupção,Uma pessoa influente da sua comunidade,1,Seguro(a),93,Inseguro(a),Não,4,Parda,Católica,"De R$ 1.760,01 até R$ 2.640,00",Igual,18,1521,1,0,1,0,0,0,1,0,1,1,0,3,0,0,1,"
Receber um presente, favor ou acesso a um serviço em troca do seu voto","
Votar em um candidato que perdeu as eleições para prefeito",NA,Educação,escolas municipais,contas do município,1,1,3,O caráter e a integridade do meu candidato,O que aprendi durante a campanha sobre candidatos da oposição,Conhecer pessoalmente algum candidato,Conversas com amigos ou familiares,3,4,1,Ter bom desempenho em avaliações nacionais,Ter professores bem formados,Ter professores bem pagos,1,185,Não,Não,NA,NA,NA,NS/NR,1,Não,NA,NA,NA,1,3,2,Falta de investimento na educação,NA,3,2,1,1,0,1,DEM,0,0,1,0,0,0,1,171,0,0.8374841889475291
429,Bom Conselho,2602100,260210005000020,(3) Educação,0,REJEIÇÃO,172,1509,1524,Mulher,24,Pouco interessado(a),1,1,1,Sim,Dilma Rousseff,1,Crise econômica,1,A administração das contas do município,7,1,Ótimo,7,Bom,6,0,0,0,7,7,7,7,7,7,1,1,1,Se ele se envolveu em corrupção,Uma pessoa fazendo uma pesquisa,0,Seguro(a),1,Seguro(a),Não,12,Branca,Católica,"De R$ 1.760,01 até R$ 2.640,00",Igual,18,1538,1,0,1,0,0,1,1,0,1,1,0,2,0,1,0,"
Receber um presente, favor ou acesso a um serviço em troca do seu voto",NA,"Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Educação,escolas municipais,contas do município,1,2,2,Benefícios para a comunidade,O que aprendi durante a campanha sobre o atual prefeito,Conhecer pessoalmente algum candidato,Conversas com amigos ou familiares,5,5,4,Ter bom desempenho em avaliações nacionais,Ter professores bem formados,Ter professores bem pagos,0,1,Sim,Não,NA,NA,NA,NS/NR,1,Sim,NA,NA,NA,1,3,2,Investimento na educação,NA,5,5,1,0,1,1,PSB,1,1,0,1,1,0,0,13,1,0.8374841889475291
430,Bom Conselho,2602100,260210005000020,(3) Educação,0,REJEIÇÃO,172,1509,1544,Homem,49,Pouco interessado(a),1,1,1,Sim,Dilma Rousseff,0,Calçamento/asfaltamento/buracos,0,Igualmente importantes,4,1,Bom,6,Bom,6,1,1,0,4,6,7,7,7,7,1,1,1,Se ele se envolveu em corrupção,Uma pessoa fazendo uma pesquisa,0,Seguro(a),97,Seguro(a),Não,12,Parda,Católica,"De R$ 440,01 até R$ 880,00",Igual,18,1554,1,0,1,0,0,1,0,0,0,1,0,2,0,1,0,NA,NA,"Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Educação,escolas municipais,contas do município,1,2,1,Benefícios para a comunidade,Conhecer pessoalmente algum candidato,Conversas com amigos ou familiares,Outro fator,5,5,4,Ter acesso a Internet,Ter professores bem pagos,Ser escola de tempo integral,0,1,Não,Não,NA,NA,NA,NS/NR,1,Não,NA,NA,NA,1,1,3,NA,NA,NA,4,0,0,1,1,PSB,1,1,1,0,0,0,0,13,1,0.8374841889475291
431,Bom Conselho,2602100,260210005000020,(3) Educação,0,REJEIÇÃO,172,1509,1601,Mulher,76,Pouco interessado(a),1,0,1,Sim,Dilma Rousseff,1,Crise econômica,1,A administração das contas do município,7,2,Bom,6,Bom,7,0,0,0,7,7,3,7,7,7,4,1,1,"O desempenho do prefeito em suas funções; por exemplo, quantas vezes por semana ele vai à prefeitura",Uma pessoa fazendo uma pesquisa,0,Inseguro(a),129,Seguro(a),Não,4,Parda,Católica,"De R$ 1.320,01 até R$ 1.760,00",Igual,18,1610,1,0,1,0,0,1,1,0,1,0,0,2,0,1,0,NA,NA,"Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Educação,escolas municipais,contas do município,1,2,1,Benefícios para a comunidade,O que aprendi durante a campanha sobre o atual prefeito,Conhecer pessoalmente algum candidato,Conversas com amigos ou familiares,4,4,4,Ter bom desempenho em avaliações nacionais,Ter professores bem formados,Ter professores bem pagos,1,169,Não,Não,NA,NA,NA,NS/NR,1,Sim,Falava sobre a pesquisa,NA,NA,1,3,2,Investimento na educação,NA,4,4,0,0,1,1,PSB,1,1,1,1,1,0,1,181,1,0.8374841889475291
432,Bom Conselho,2602100,260210005000020,(1) Controle,0,REJEIÇÃO,172,1509,1633,Homem,58,Pouco interessado(a),1,1,1,Sim,Aécio Neves,0,Saúde/hospitais/postos de saúde,0,Igualmente importantes,4,2,Bom,4,Regular,4,1,0,0,7,5,4,7,5,5,1,4,1,"O desempenho do prefeito em suas funções; por exemplo, quantas vezes por semana ele vai à prefeitura",Um político local,1,Inseguro(a),57,Inseguro(a),Não,0,Branca,Católica,"De R$ 440,01 até R$ 880,00",Igual,50,1640,0,0,1,1,0,0,0,0,0,0,0,5,0,0,1,"
Receber um presente, favor ou acesso a um serviço em troca do seu voto","
Votar em um candidato que perdeu as eleições para prefeito","Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Educação,escolas municipais,contas do município,1,2,2,Benefícios para a comunidade,Conhecer pessoalmente algum candidato,Conversas com amigos ou familiares,NA,3,NA,3,Ficar perto da sua casa,Ter professores bem formados,Ter professores bem pagos,1,165,Não,Não,NA,NA,NA,NS/NR,1,Não,NA,NA,NA,1,3,4,NS/NR,NA,3,NA,1,1,1,1,PSB,1,1,0,0,NA,0,1,177,0,0.8374841889475291
433,Bom Conselho,2602100,260210005000020,(2) Gestão Financeira,0,REJEIÇÃO,172,1509,1648,Mulher,31,Pouco interessado(a),1,1,1,Sim,Dilma Rousseff,1,Crise econômica,0,A administração das contas do município,6,2,Ótimo,7,Bom,6,1,0,1,6,7,5,6,7,7,2,3,1,"O desempenho do prefeito em suas funções; por exemplo, quantas vezes por semana ele vai à prefeitura",Uma pessoa fazendo uma pesquisa,0,Inseguro(a),105,Inseguro(a),Sim,7,Parda,Católica,"De R$ 880,01 até R$ 1.320,00",Melhor,18,1658,0,1,1,0,0,1,1,0,1,0,0,4,0,1,0,"
Receber um presente, favor ou acesso a um serviço em troca do seu voto","
Votar em um candidato que perdeu as eleições para prefeito","Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Gestão Financ.,contas do município,escolas municipais,1,2,3,Benefícios para a comunidade,Conversas com amigos ou familiares,O que aprendi durante a campanha sobre o atual prefeito,O que aprendi durante a campanha sobre candidatos da oposição,3,NA,3,Ter bom desempenho em avaliações nacionais,Ter professores bem formados,Ter professores bem pagos,0,93,Não,Não,NA,NA,NA,NS/NR,1,Não,NA,NA,NA,1,3,3,NS/NR,NS/NR,3,NA,1,1,1,1,PSB,1,1,0,0,1,0,0,105,1,0.8374841889475291
434,Bom Conselho,2602100,260210005000020,(3) Educação,0,REJEIÇÃO,172,1509,1705,Homem,60,Pouco interessado(a),1,1,1,Sim,Dilma Rousseff,0,Crise econômica,0,Igualmente importantes,3,2,Bom,6,Bom,6,1,0,0,6,4,4,6,5,6,1,4,1,Se ele se envolveu em corrupção,Uma pessoa fazendo uma pesquisa,0,Seguro(a),97,Inseguro(a),Não,0,Branca,Católica,"De R$ 1.760,01 até R$ 2.640,00",Igual,18,1717,1,0,1,0,0,1,0,0,0,1,0,5,0,1,0,NA,NA,NA,Educação,contas do município,escolas municipais,1,1,0,O caráter e a integridade do meu candidato,Conhecer pessoalmente algum candidato,Conversas com amigos ou familiares,Outro fator,3,NA,3,Ter professores bem formados,Ter professores bem pagos,Ter bom desempenho em avaliações nacionais,0,173,Não,Não,NA,NA,NA,NS/NR,1,Não,NA,NA,NA,1,3,3,Investimento na educação,NS/NR,4,4,0,0,0,1,DEM,0,0,1,0,0,0,0,183,1,0.8374841889475291
435,Bom Conselho,2602100,260210005000020,(1) Controle,0,REJEIÇÃO,172,1509,1725,Homem,23,Nada interessado(a),1,0,0,Sim,Aécio Neves,1,Crise econômica,0,A administração das contas do município,1,5,Péssimo,1,Bom,7,1,0,0,1,1,4,1,1,6,4,1,1,Se ele foi acusado de cometer algum crime,Uma pessoa fazendo uma pesquisa,0,Seguro(a),53,Inseguro(a),Não,11,Parda,Católica,"De R$ 1.760,01 até R$ 2.640,00",Igual,18,1737,0,0,1,1,0,1,0,0,1,0,0,2,0,1,0,NA,NA,NA,Gestão Financ.,contas do município,escolas municipais,1,1,1,Benefícios para a comunidade,O que aprendi durante a campanha sobre candidatos da oposição,Conhecer pessoalmente algum candidato,Conversas com amigos ou familiares,1,1,1,Ter bom desempenho em avaliações nacionais,Ter acesso a Internet,Ter professores bem pagos,1,125,Não,Não,NA,NA,NA,NS/NR,1,Não,NA,NA,NA,1,1,2,NA,NS/NR,NA,1,0,0,0,1,DEM,0,0,1,0,0,0,1,137,1,0.8374841889475291
436,Bom Conselho,2602100,260210005000020,(2) Gestão Financeira,0,REJEIÇÃO,172,1509,1744,Homem,39,Interessado(a),1,1,1,Sim,Dilma Rousseff,0,Crise econômica,0,A administração das escolas municipais,3,1,Regular,3,Regular,4,1,1,0,3,4,5,7,5,2,4,3,1,Se ele se envolveu em corrupção,Um panfleto de uma ONG,0,Seguro(a),18,Inseguro(a),Não,12,Branca,Católica,"De R$ 1.760,01 até R$ 2.640,00",Igual,18,1751,0,1,1,0,0,1,0,1,0,1,1,4,0,1,0,"
Receber um presente, favor ou acesso a um serviço em troca do seu voto","
Votar em um candidato que perdeu as eleições para prefeito",NA,Gestão Financ.,escolas municipais,contas do município,1,2,1,Benefícios para a comunidade,Conhecer pessoalmente algum candidato,Conversas com amigos ou familiares,Outro fator,5,5,1,Ser escola de tempo integral,Ter professores bem pagos,Ter professores bem formados,0,93,Não,Não,NA,NA,NA,NS/NR,1,Sim,Avaliação sobre a educação,NA,NA,1,3,2,Faltam professores nas escolas,NA,4,3,1,1,0,1,PSB,1,1,1,0,0,0,0,105,1,0.8374841889475291
